,symbol,date,dividend
0,MSFT,2016-11-15,0.39
1,MSFT,2011-05-17,0.16
2,MSFT,2008-05-13,0.11
3,MSFT,2011-02-15,0.16
4,MSFT,2012-02-14,0.2
5,MSFT,2011-08-16,0.16
6,MSFT,2006-02-15,0.09
7,MSFT,2014-11-18,0.31
8,MSFT,2015-05-19,0.31
9,MSFT,2008-11-18,0.13
10,MSFT,2016-02-16,0.36
11,MSFT,2005-05-16,0.08
12,MSFT,2004-08-23,0.08
13,MSFT,2007-11-13,0.11
14,MSFT,2006-11-14,0.1
15,MSFT,2010-05-18,0.13
16,MSFT,2016-08-16,0.36
17,MSFT,2015-08-18,0.31
18,MSFT,2011-11-15,0.2
19,MSFT,2005-11-15,0.08
20,MSFT,2007-02-13,0.1
21,MSFT,2017-08-15,0.39
22,MSFT,2014-02-18,0.28
23,MSFT,2012-08-14,0.2
24,MSFT,2015-11-17,0.36
25,MSFT,2016-05-17,0.36
26,MSFT,2013-05-14,0.23
27,MSFT,2012-11-13,0.23
28,MSFT,2015-02-17,0.31
29,MSFT,2005-02-15,0.08
30,MSFT,2008-08-19,0.11
31,MSFT,2003-02-19,0.08
32,MSFT,2012-05-15,0.2
33,MSFT,2003-10-15,0.16
34,MSFT,2004-11-15,3.08
35,MSFT,2006-05-15,0.09
36,MSFT,2017-05-16,0.39
37,MSFT,2005-08-15,0.08
38,MSFT,2013-02-19,0.23
39,MSFT,2007-08-14,0.1
40,MSFT,2009-08-18,0.13
41,MSFT,2010-02-16,0.13
42,MSFT,2008-02-19,0.11
43,MSFT,2010-11-16,0.16
44,MSFT,2013-11-19,0.28
45,MSFT,2010-08-17,0.13
46,MSFT,2017-02-14,0.39
47,MSFT,2006-08-15,0.09
48,MSFT,2017-11-15,0.42
49,MSFT,2007-05-15,0.1
50,MSFT,2014-05-13,0.28
51,MSFT,2014-08-19,0.28
52,MSFT,2009-02-17,0.13
53,MSFT,2013-08-13,0.23
54,MSFT,2009-11-17,0.13
55,MSFT,2009-05-19,0.13
56,AAPL,2014-08-07,0.47
57,AAPL,2016-11-03,0.57
58,AAPL,2016-08-04,0.57
59,AAPL,2012-11-07,2.65
60,AAPL,2017-02-09,0.57
61,AAPL,2015-05-07,0.52
62,AAPL,2012-08-09,2.65
63,AAPL,2016-05-05,0.57
64,AAPL,2014-11-06,0.47
65,AAPL,2017-11-10,0.63
66,AAPL,2015-08-06,0.52
67,AAPL,2015-11-05,0.52
68,AAPL,2013-02-07,2.65
69,AAPL,2017-05-11,0.63
70,AAPL,2017-08-10,0.63
71,AAPL,2014-02-06,3.05
72,AAPL,2013-05-09,3.05
73,AAPL,2013-08-08,3.05
74,AAPL,2013-11-06,3.05
75,AAPL,2014-05-08,3.29
76,AAPL,2016-02-04,0.52
77,AAPL,2015-02-05,0.47
79,AAL,2015-04-30,0.1
80,AAL,2017-02-09,0.1
81,AAL,2017-05-12,0.1
82,AAL,2016-08-03,0.1
83,AAL,2017-11-10,0.1
84,AAL,2014-10-30,0.1
85,AAL,2016-02-08,0.1
86,AAL,2017-08-10,0.1
87,AAL,2015-08-06,0.1
88,AAL,2016-05-02,0.1
89,AAL,2014-07-31,0.1
90,AAL,2015-02-05,0.1
91,AAL,2016-11-03,0.1
92,AAL,2015-11-03,0.1
10428,COST,2004-07-21,0.1
10429,COST,2008-08-06,0.16
10430,COST,2011-05-11,0.24
10431,COST,2011-08-03,0.24
10432,COST,2013-08-07,0.31
10433,COST,2005-08-03,0.115
10434,COST,2008-05-14,0.16
10435,COST,2016-08-10,0.45
10436,COST,2007-07-25,0.145
10437,COST,2016-11-02,0.45
10438,COST,2005-11-16,0.115
10439,COST,2015-02-05,5.0
10440,COST,2008-02-13,0.145
10441,COST,2016-04-27,0.45
10442,COST,2014-02-12,0.31
10443,COST,2004-11-03,0.1
10444,COST,2009-08-12,0.18
10445,COST,2006-11-15,0.13
10446,COST,2013-05-15,0.31
10447,COST,2012-11-14,0.275
10448,COST,2012-02-08,0.24
10449,COST,2014-11-12,0.355
10450,COST,2005-02-04,0.1
10451,COST,2010-05-05,0.205
10452,COST,2012-08-08,0.275
10453,COST,2015-02-11,0.355
10454,COST,2012-12-06,14.0
10455,COST,2017-05-08,7.0
10456,COST,2005-05-04,0.115
10457,COST,2007-11-28,0.145
10458,COST,2007-04-25,0.145
10459,COST,2006-05-08,0.13
10460,COST,2010-02-10,0.18
10461,COST,2007-02-12,0.13
10462,COST,2017-11-16,0.5
10463,COST,2017-02-08,0.45
10464,COST,2004-05-06,0.1
10465,COST,2010-10-27,0.205
10466,COST,2009-10-21,0.18
10467,COST,2017-05-10,0.5
10468,COST,2015-08-12,0.4
10469,COST,2014-07-09,0.355
10470,COST,2010-08-04,0.205
10471,COST,2009-02-11,0.16
10472,COST,2017-08-16,0.5
10473,COST,2008-11-12,0.16
10474,COST,2006-07-28,0.13
10475,COST,2015-04-29,0.4
10476,COST,2006-02-07,0.115
10477,COST,2016-02-10,0.4
10478,COST,2011-02-09,0.205
10479,COST,2013-11-13,0.31
10480,COST,2009-05-13,0.18
10481,COST,2015-11-10,0.4
10482,COST,2013-02-06,0.275
10483,COST,2011-11-08,0.24
10484,COST,2012-05-23,0.275
10485,COST,2014-05-14,0.355
10954,CSCO,2016-04-04,0.26
10955,CSCO,2015-07-01,0.21
10956,CSCO,2014-07-02,0.19
10957,CSCO,2012-04-03,0.08
10958,CSCO,2013-07-01,0.17
10959,CSCO,2015-10-01,0.21
10960,CSCO,2012-07-02,0.08
10961,CSCO,2011-07-05,0.06
10962,CSCO,2015-01-02,0.19
10963,CSCO,2017-07-05,0.29
10964,CSCO,2015-03-31,0.21
10965,CSCO,2016-01-04,0.21
10966,CSCO,2017-10-04,0.29
10967,CSCO,2013-04-04,0.17
10968,CSCO,2016-07-05,0.26
10969,CSCO,2011-10-04,0.06
10970,CSCO,2014-09-30,0.19
10971,CSCO,2013-10-01,0.17
10972,CSCO,2012-11-27,0.14
10973,CSCO,2018-01-04,0.29
10974,CSCO,2012-10-02,0.14
10975,CSCO,2017-01-04,0.26
10976,CSCO,2012-01-03,0.06
10977,CSCO,2016-10-03,0.26
10978,CSCO,2011-03-29,0.06
10979,CSCO,2014-01-02,0.17
10980,CSCO,2014-04-01,0.19
10981,CSCO,2017-04-04,0.29
20818,GOOGL,2014-04-03,567.9717
24542,INTC,2016-08-03,0.26
24543,INTC,2017-08-03,0.2725
24544,INTC,2009-02-04,0.14
24545,INTC,2010-11-03,0.1575
24546,INTC,2007-02-05,0.1125
24547,INTC,2000-02-03,0.03
24548,INTC,2003-08-05,0.02
24549,INTC,2002-11-05,0.02
24550,INTC,2014-08-05,0.225
24551,INTC,2009-08-05,0.14
24552,INTC,2006-02-03,0.1
24553,INTC,2012-08-03,0.225
24554,INTC,2008-11-05,0.14
24555,INTC,2005-02-03,0.08
24556,INTC,2010-08-04,0.1575
24557,INTC,2001-05-03,0.02
24558,INTC,2003-02-05,0.02
24559,INTC,2011-11-03,0.21
24560,INTC,2017-05-03,0.2725
24561,INTC,2002-05-03,0.02
24562,INTC,2004-08-04,0.04
24563,INTC,2008-05-05,0.14
24564,INTC,2004-05-05,0.04
24565,INTC,2015-08-05,0.24
24566,INTC,2009-05-05,0.14
24567,INTC,2011-05-04,0.1812
24568,INTC,2004-02-04,0.04
24569,INTC,2000-05-03,0.03
24570,INTC,2015-05-05,0.24
24571,INTC,2002-08-05,0.02
24572,INTC,2005-05-04,0.08
24573,INTC,2014-02-05,0.225
24574,INTC,2003-05-05,0.02
24575,INTC,2007-05-03,0.1125
24576,INTC,2015-11-04,0.24
24577,INTC,2013-08-05,0.225
24578,INTC,2011-02-03,0.1812
24579,INTC,2003-11-05,0.02
24580,INTC,2007-08-03,0.1125
24581,INTC,2006-11-03,0.1
24582,INTC,2016-11-03,0.26
24583,INTC,2017-02-03,0.26
24584,INTC,2010-05-05,0.1575
24585,INTC,2012-02-03,0.21
24586,INTC,2014-05-05,0.225
24587,INTC,2013-11-05,0.225
24588,INTC,2002-02-05,0.02
24589,INTC,2006-05-03,0.1
24590,INTC,2004-11-03,0.04
24591,INTC,2016-02-03,0.26
24592,INTC,2013-02-05,0.225
24593,INTC,2001-08-03,0.02
24594,INTC,2017-11-06,0.2725
24595,INTC,2001-11-05,0.02
24596,INTC,2013-05-03,0.225
24597,INTC,2001-02-05,0.02
24598,INTC,2009-11-04,0.14
24599,INTC,2000-11-03,0.02
24600,INTC,2014-11-05,0.225
24601,INTC,2012-11-05,0.225
24602,INTC,2000-08-03,0.02
24603,INTC,2007-11-05,0.1125
24604,INTC,2008-02-05,0.1275
24605,INTC,2008-08-05,0.14
24606,INTC,2006-08-03,0.1
24607,INTC,2016-05-04,0.26
24608,INTC,2015-02-04,0.24
24609,INTC,2010-02-03,0.1575
24610,INTC,2005-11-03,0.08
24611,INTC,2012-05-03,0.21
24612,INTC,2005-08-03,0.08
24613,INTC,2011-08-03,0.21
34591,PEP,2015-06-03,0.7025
34592,PEP,2005-09-07,0.26
34593,PEP,2013-12-04,0.5675
34594,PEP,2004-12-08,0.23
34595,PEP,2006-03-08,0.26
34596,PEP,2005-06-08,0.26
34597,PEP,2017-05-31,0.805
34598,PEP,2001-03-07,0.14
34599,PEP,2015-09-02,0.7025
34600,PEP,2002-12-04,0.15
34601,PEP,2010-06-02,0.48
34602,PEP,2003-12-10,0.16
34603,PEP,2002-09-04,0.15
34604,PEP,2006-09-06,0.3
34605,PEP,2016-06-01,0.7525
34606,PEP,2016-03-02,0.7025
34607,PEP,2001-12-05,0.145
34608,PEP,2010-09-01,0.48
34609,PEP,2009-03-04,0.425
34610,PEP,2007-03-07,0.3
34611,PEP,2000-03-08,0.135
34612,PEP,2017-08-30,0.805
34613,PEP,2007-09-05,0.375
34614,PEP,2009-12-02,0.45
34615,PEP,2012-09-05,0.5375
34616,PEP,2002-03-06,0.145
34617,PEP,2005-12-07,0.26
34618,PEP,2000-06-07,0.14
34619,PEP,2012-12-05,0.5375
34620,PEP,2015-12-02,0.7025
34621,PEP,2009-06-03,0.45
34622,PEP,2010-03-03,0.45
34623,PEP,2002-06-05,0.15
34624,PEP,2014-09-03,0.655
34625,PEP,2004-06-09,0.23
34626,PEP,2003-06-11,0.16
34627,PEP,2000-12-06,0.14
34628,PEP,2001-09-05,0.145
34629,PEP,2001-06-06,0.145
34630,PEP,2003-03-12,0.15
34631,PEP,2009-09-02,0.45
34632,PEP,2016-11-30,0.7525
34633,PEP,2013-06-05,0.5675
34634,PEP,2004-03-10,0.16
34635,PEP,2004-09-08,0.23
34636,PEP,2007-12-05,0.375
34637,PEP,2011-06-01,0.515
34638,PEP,2008-12-03,0.425
34639,PEP,2015-03-04,0.655
34640,PEP,2017-11-30,0.805
34641,PEP,2014-03-05,0.5675
34642,PEP,2007-06-06,0.375
34643,PEP,2006-06-07,0.3
34644,PEP,2012-02-29,0.515
34645,PEP,2014-06-04,0.655
34646,PEP,2011-08-31,0.515
34647,PEP,2008-09-03,0.425
34648,PEP,2005-03-09,0.23
34649,PEP,2013-02-27,0.5375
34650,PEP,2013-09-04,0.5675
34651,PEP,2006-12-06,0.3
34652,PEP,2008-06-04,0.425
34653,PEP,2016-08-31,0.7525
34654,PEP,2008-03-05,0.375
34655,PEP,2017-03-01,0.7525
