,symbol,date,qtr,eps_est,eps,release_time
99,AAL,2014-01-28,12/2013,0.54,1.51,pre
100,AAL,2014-04-24,03/2014,0.5,0.54,pre
101,AAL,2014-07-24,06/2014,1.94,1.98,pre
102,AAL,2014-10-23,09/2014,1.63,1.66,pre
103,AAL,2015-01-27,12/2014,1.51,1.52,pre
104,AAL,2015-04-24,03/2015,1.7,1.73,pre
105,AAL,2015-07-24,06/2015,2.58,2.62,pre
106,AAL,2015-10-23,09/2015,2.72,2.77,pre
107,AAL,2016-01-29,12/2015,1.96,2.0,pre
108,AAL,2016-04-22,03/2016,1.18,1.25,pre
109,AAL,2016-07-22,06/2016,1.65,1.77,pre
110,AAL,2016-10-20,09/2016,1.68,2.8,pre
111,AAL,2017-01-27,12/2016,0.92,0.92,pre
112,AAL,2017-04-27,03/2017,0.57,0.61,pre
113,AAL,2017-07-28,06/2017,1.87,1.92,pre
114,AAL,2017-10-26,09/2017,1.39,1.42,pre
115,AAL,2018-01-25,12/2017,0.92,0.95,pre
116,AAL,2018-04-26,03/2018,0.74,0.75,pre
117,AAL,2018-07-26,06/2018,1.59,1.63,pre
118,AAL,2018-10-25,09/2018,1.12,1.13,pre
119,AAL,2019-01-24,12/2018,1.02,1.04,pre
120,AAL,2019-04-26,03/2019,0.506,0.52,pre
121,AAL,2019-07-25,Q2,1.795,1.82,
122,AAL,2019-10-24,Q3,1.395,1.42,
123,AAL,2020-01-23,Q4,1.142,1.15,
124,AAL,2020-04-30,Q1,-2.328,-2.65,
125,AAL,2020-07-23,Q2,-7.704,-7.82,
126,AAL,2020-10-22,Q3,-5.877,-5.54,
357,AAPL,2009-07-21,06/2009,,,post
358,AAPL,2009-10-19,09/2009,,0.45,post
359,AAPL,2010-01-25,12/2009,,,post
360,AAPL,2010-04-20,03/2010,,,post
361,AAPL,2010-07-20,06/2010,,,post
362,AAPL,2010-10-18,09/2010,,,
363,AAPL,2011-01-18,12/2010,,,post
364,AAPL,2011-04-20,03/2011,,,post
365,AAPL,2011-07-19,06/2011,,,post
366,AAPL,2011-10-18,09/2011,,,post
367,AAPL,2012-01-24,12/2011,,,post
368,AAPL,2012-04-24,03/2012,,,post
369,AAPL,2012-07-24,06/2012,,,
370,AAPL,2012-10-25,09/2012,1.26,1.24,post
371,AAPL,2013-01-23,12/2012,1.92,1.97,post
372,AAPL,2013-04-23,03/2013,1.45,1.44,post
373,AAPL,2013-07-23,06/2013,1.04,1.07,post
374,AAPL,2013-10-28,09/2013,1.13,1.18,post
375,AAPL,2014-01-27,12/2013,2.01,2.07,post
376,AAPL,2014-04-23,03/2014,1.46,1.66,post
377,AAPL,2014-07-22,06/2014,1.22,1.28,post
378,AAPL,2014-10-20,09/2014,1.3,1.42,post
379,AAPL,2015-01-27,12/2014,2.6,3.06,post
380,AAPL,2015-04-27,03/2015,2.19,2.33,post
381,AAPL,2015-07-21,06/2015,1.8,1.85,post
382,AAPL,2015-10-27,09/2015,1.88,1.96,post
383,AAPL,2016-01-26,12/2015,3.24,3.28,post
384,AAPL,2016-04-26,03/2016,1.97,1.9,post
385,AAPL,2016-07-26,06/2016,1.39,1.42,post
386,AAPL,2016-10-25,09/2016,1.66,1.67,post
387,AAPL,2017-01-31,12/2016,3.22,3.36,post
388,AAPL,2017-05-02,03/2017,2.02,2.1,post
389,AAPL,2017-08-01,06/2017,1.57,1.67,post
390,AAPL,2017-11-02,09/2017,1.87,2.07,post
