,symbol,total_prices,stock_from_date,stock_to_date,total_earnings,earnings_from_date,earnings_to_date
9,AAL,3811,2005-09-27,2020-11-13,28,2014-01-28,2020-10-22
16,AAPL,5756,1998-01-02,2020-11-13,46,2009-07-21,2020-10-29
27,ABBV,1975,2013-01-02,2020-11-03,31,2013-04-26,2020-10-30
28,ABC,5748,1998-01-02,2020-11-03,46,2009-07-30,2020-11-05
107,ADM,5750,1998-01-02,2020-11-05,47,2009-05-05,2020-10-29
230,AIG,5751,1998-01-02,2020-11-06,47,2009-05-07,2020-11-05
300,ALL,5750,1998-01-02,2020-11-05,47,2009-05-07,2020-11-04
393,AMZN,5756,1998-01-02,2020-11-13,46,2009-07-23,2020-10-29
422,ANTM,4994,2001-01-02,2020-11-05,24,2015-01-28,2020-10-28
687,AXP,5750,1998-01-02,2020-11-05,46,2009-07-23,2020-10-23
709,BA,5750,1998-01-02,2020-11-05,46,2009-07-22,2020-10-28
712,BAC,5750,1998-01-02,2020-11-05,46,2009-07-17,2020-10-14
755,BBY,5750,1998-01-02,2020-11-05,46,2009-06-16,2020-08-25
1171,C,5751,1998-01-02,2020-11-06,46,2009-07-17,2020-10-13
1188,CAH,5751,1998-01-02,2020-11-06,46,2009-08-18,2020-11-05
1226,CAT,5751,1998-01-02,2020-11-06,46,2009-07-21,2020-10-27
1445,CHTR,2736,2010-01-05,2020-11-13,41,2010-11-03,2020-10-30
1452,CI,5748,1998-01-02,2020-11-03,46,2009-07-30,2020-11-05
1582,CNC,4759,2001-12-13,2020-11-06,46,2009-07-28,2020-10-27
1620,COF,5751,1998-01-02,2020-11-06,46,2009-07-23,2020-10-22
1640,COP,5751,1998-01-02,2020-11-06,46,2009-07-29,2020-10-29
1647,COST,5756,1998-01-02,2020-11-13,46,2009-05-28,2020-09-24
1745,CSCO,5756,1998-01-02,2020-11-13,47,2009-05-06,2020-11-12
1855,CVS,5751,1998-01-02,2020-11-06,47,2009-05-05,2020-11-06
1859,CVX,5751,1998-01-02,2020-11-06,46,2009-07-31,2020-10-30
1912,DAL,3405,2007-05-03,2020-11-06,46,2009-07-22,2020-10-13
1953,DE,5751,1998-01-02,2020-11-06,45,2009-05-20,2020-08-21
1959,DELL,473,2018-12-21,2020-11-06,7,2019-02-28,2020-08-27
2013,DIS,5751,1998-01-02,2020-11-06,47,2009-05-05,2020-11-12
2073,DOW,415,2019-03-20,2020-11-06,7,2019-05-02,2020-10-22
2471,ET,519,2018-10-17,2020-11-06,24,2014-02-19,2020-11-04
2542,EXC,5751,1998-01-02,2020-11-06,46,2009-07-24,2020-11-03
2571,F,5751,1998-01-02,2020-11-06,46,2009-07-23,2020-10-28
2590,FB,2129,2012-05-18,2020-11-02,34,2012-07-26,2020-10-29
2647,FDX,5751,1998-01-02,2020-11-06,46,2009-06-17,2020-09-15
2973,GD,5751,1998-01-02,2020-11-06,46,2009-07-29,2020-10-28
2986,GE,5751,1998-01-02,2020-11-06,46,2009-07-17,2020-10-28
3092,GM,2510,2010-11-18,2020-11-06,40,2011-02-24,2020-11-05
3149,GOOGL,3891,2004-08-19,2020-02-03,27,2014-04-16,2020-10-29
3216,GS,5040,1999-05-04,2019-05-14,46,2009-07-14,2020-10-14
3311,HCA,2435,2011-03-10,2020-11-09,39,2011-05-04,2020-10-26
3341,HD,5751,1998-01-02,2020-11-06,46,2009-05-19,2020-08-18
3448,HON,5751,1998-01-02,2020-11-06,46,2009-07-27,2020-10-30
3463,HPQ,5751,1998-01-02,2020-11-06,46,2009-05-15,2020-08-27
3525,HUM,5751,1998-01-02,2020-11-06,46,2009-08-03,2020-11-03
3585,IBM,5751,1998-01-02,2020-11-06,46,2009-07-16,2020-10-19
3761,INT,5751,1998-01-02,2020-11-06,47,2009-05-07,2020-10-29
3762,INTC,5748,1998-01-02,2020-11-03,46,2009-07-14,2020-10-22
3951,JNJ,5752,1998-01-02,2020-11-09,46,2009-07-14,2020-10-13
3963,JPM,5752,1998-01-02,2020-11-09,46,2009-07-16,2020-10-13
4082,KO,5752,1998-01-02,2020-11-09,46,2009-07-21,2020-10-22
4097,KR,5752,1998-01-02,2020-11-09,46,2009-06-23,2020-09-11
4295,LMT,5752,1998-01-02,2020-11-09,46,2009-07-21,2020-10-20
4325,LOW,5752,1998-01-02,2020-11-09,46,2009-05-18,2020-08-19
4469,MCK,5752,1998-01-02,2020-11-09,47,2009-05-04,2020-11-03
4522,MET,5183,2000-04-05,2020-11-09,46,2009-07-30,2020-11-04
4689,MPC,2362,2011-06-23,2020-11-09,38,2011-08-02,2020-11-02
4712,MRK,5752,1998-01-02,2020-11-09,46,2009-07-21,2020-10-27
4724,MS,5752,1998-01-02,2020-11-09,46,2009-07-22,2020-10-15
4739,MSFT,5756,1998-01-02,2020-11-13,46,2009-07-23,2020-10-27
