ticker,date,commonstocksharesissued,assetscurrent,accountspayablecurrent,commonstockvalue,liabilities,liabilitiesandstockholdersequity,stockholdersequity,earningspersharebasic,netincomeloss,profitloss,costofgoodssold,costsandexpenses,cash,notespayable,preferredstockvalue,depreciation,operatingexpenses,revenues,land,accountsreceivablenet,deferredrevenue,grossprofit,sharesissued,accruedincometaxes,sharesoutstanding,borrowedfunds,inventorygross,commercialpaper,dividends,commonstocknoparvalue,costofservices,debtcurrent,accruedinsurancecurrent,officerscompensation,salariesandwages,interestanddebtexpense,convertibledebt,operatingcycle,open,high,low,close,close_adjusted,volume,split_coefficient,date_minus1,open_minus1,high_minus1,low_minus1,close_minus1,close_adj_minus1,volume_minus1,split_coef_minus1,date_plus1,open_plus1,high_plus1,low_plus1,close_plus1,close_adj_plus1,volume_plus1,split_coef_plus1
AAL,2010-07-21,339389724.0,7344000000.0,1305000000.0,339000000.0,,25885000000.0,-3930000000.0,-0.03,-11000000.0,,,5478000000.0,197000000.0,224000000.0,3329000000.0,967000000.0,,,,,,,,,,,,,,,,,,,,,,,9.45,9.81,9.16,9.21,8.9067,55215818.0,1.0,2010-07-20,8.5,8.95,8.5,8.92,8.6263,18199196.0,1.0,2010-07-22,9.45,9.95,9.45,9.85,9.5256,38570241.0,1.0
AAL,2010-10-20,339389724.0,6837000000.0,1220000000.0,339000000.0,,25357000000.0,-3643000000.0,0.43,143000000.0,,,5500000000.0,202000000.0,224000000.0,3329000000.0,967000000.0,,,,,,,,,,,,,,,,,,,,,,,10.5,11.05,10.4,10.84,10.482999999999999,53324397.0,1.0,2010-10-19,9.94,10.24,9.85,10.09,9.7577,21976408.0,1.0,2010-10-21,10.94,11.04,10.55,10.75,10.395999999999999,26692761.0,1.0
AAL,2011-02-16,339389724.0,6838000000.0,1156000000.0,339000000.0,,25088000000.0,-5607000000.0,-1.41,-471000000.0,,,21862000000.0,168000000.0,224000000.0,3329000000.0,967000000.0,,,,,,,,,,,,,,,,,,,,,,,10.15,10.21,9.87,10.1,9.7674,12961662.0,1.0,2011-02-15,10.07,10.14,9.97,10.08,9.7481,10175603.0,1.0,2011-02-17,10.07,10.11,9.82,9.92,9.5933,16368365.0,1.0
AAL,2011-04-20,341207797.0,8825000000.0,1267000000.0,339000000.0,,27113000000.0,-3949000000.0,-1.31,-436000000.0,,,5765000000.0,286000000.0,224000000.0,3329000000.0,24000000.0,,,,,,,,,,,,,,,,,,,,,,,8.35,8.45,8.09,8.14,7.872000000000001,13698123.0,1.0,2011-04-19,8.33,8.53,8.23,8.25,7.9783,13090885.0,1.0,2011-04-21,8.2,8.23,8.05,8.13,7.8623,6240214.0,1.0
AAL,2011-07-20,341207797.0,7997000000.0,1291000000.0,341000000.0,,25787000000.0,-4509000000.0,-0.85,-286000000.0,,,6192000000.0,318000000.0,224000000.0,3329000000.0,24000000.0,,,,,,,,,,,,,,,,,,,,,,,7.12,7.14,6.86,6.9,6.6728,14597319.0,1.0,2011-07-19,7.08,7.08,6.79,7.01,6.7792,26153351.0,1.0,2011-07-21,6.87,7.01,6.65,6.9,6.6728,21129491.0,1.0
AAL,2011-10-19,341207797.0,6838000000.0,1150000000.0,341000000.0,,24719000000.0,-4833000000.0,-0.48,-162000000.0,,,6337000000.0,304000000.0,224000000.0,3329000000.0,24000000.0,,,,,,,,,,,,,,,,,,,,,,,6.02,6.07,5.7,5.76,5.5703,19617694.0,1.0,2011-10-18,5.81,6.16,5.81,6.02,5.8218,13193298.0,1.0,2011-10-20,5.8,6.04,5.68,6.01,5.8121,12882306.0,1.0
AAL,2012-02-15,341207797.0,6757000000.0,1007000000.0,341000000.0,,23848000000.0,-367000000.0,-3.27,-1095000000.0,,,25033000000.0,283000000.0,224000000.0,3329000000.0,24000000.0,,,,,,,,,,,,,,,,,,,,,,,9.05,9.19,8.85,8.89,8.5973,13954960.0,1.0,2012-02-14,9.08,9.25,8.89,9.0,8.7036,18974531.0,1.0,2012-02-16,8.85,9.16,8.68,9.1,8.8003,17875603.0,1.0
AAL,2012-04-19,341232637.0,7778000000.0,1336000000.0,341000000.0,,24511000000.0,-8686000000.0,-4.95,-1660000000.0,,,6126000000.0,375000000.0,224000000.0,3329000000.0,954000000.0,,,,,,,,,,,,,,,,,,,,,,,8.17,9.74,8.17,9.51,9.1968,83892225.0,1.0,2012-04-18,8.12,8.35,8.1,8.2,7.93,12456836.0,1.0,2012-04-20,9.77,9.77,9.09,9.34,9.0324,43045845.0,1.0
AAL,2012-07-18,341232637.0,7984000000.0,1362000000.0,341000000.0,,24726000000.0,-7111000000.0,-0.85,-1900000000.0,,,6192000000.0,283000000.0,224000000.0,3329000000.0,954000000.0,,,,,,,,,,,,,,,,,,,,,,,14.01,14.2,13.2,13.42,12.9781,30134316.0,1.0,2012-07-17,14.2,14.25,13.84,14.07,13.6067,20467828.0,1.0,2012-07-19,13.58,13.75,12.43,12.5,12.0884,36860054.0,1.0
AAL,2012-10-17,341232637.0,7303000000.0,1283000000.0,341000000.0,,23927000000.0,-7111000000.0,-0.48,-2139000000.0,,,6337000000.0,283000000.0,224000000.0,3329000000.0,954000000.0,,,,,,,,,,,,,,,,,,,,,,,11.46,11.79,11.25,11.62,11.2374,12360858.0,1.0,2012-10-16,11.46,11.59,11.33,11.58,11.1987,9117962.0,1.0,2012-10-18,11.63,12.12,11.6,11.72,11.3341,17060322.0,1.0
AAL,2013-02-20,341232637.0,6757000000.0,1244000000.0,341000000.0,,23510000000.0,339000000.0,-0.85,-1095000000.0,,,21862000000.0,480000000.0,224000000.0,3329000000.0,954000000.0,,,,,,,,,,,,,,,,,,,,,,,14.17,14.26,13.15,13.33,12.8911,39477748.0,1.0,2013-02-19,14.33,14.56,14.08,14.26,13.7904,30440751.0,1.0,2013-02-21,13.62,13.95,12.9,13.37,12.9297,31962735.0,1.0
AAL,2013-04-18,1000.0,7525000000.0,1440000000.0,341000000.0,,23852000000.0,-7987000000.0,-1.02,-1660000000.0,,,6126000000.0,480000000.0,224000000.0,3329000000.0,,,,,,,,,,,,,,,,,,,,,,,,16.54,16.54,15.95,16.1,15.5698,20464611.0,1.0,2013-04-17,16.17,16.55,15.9,16.52,15.975999999999999,17645845.0,1.0,2013-04-19,16.1,16.24,15.85,16.02,15.4925,15449330.0,1.0
